Year,Month,Global_Tea_Price ($)
2008,January,2.38
2008,February,2.40
2008,March,2.26
2008,April,2.49
2008,May,2.48
2008,June,2.67
2008,July,2.76
2008,August,2.74
2008,September,2.67
2008,October,2.30
2008,November,1.97
2008,December,1.93
2009,January,2.19
2009,February,2.14
2009,March,2.22
2009,April,2.51
2009,May,2.69
2009,June,2.78
2009,July,2.96
2009,August,2.99
2009,September,3.16
2009,October,3.03
2009,November,3.06
2009,December,2.97
2010,January,2.90
2010,February,2.85
2010,March,2.62
2010,April,2.77
2010,May,2.80
2010,June,2.72
2010,July,2.86
2010,August,2.99
2010,September,3.00
2010,October,3.03
2010,November,3.03
2010,December,3.04
2011,January,3.02
2011,February,2.88
2011,March,2.76
2011,April,3.02
2011,May,2.95
2011,June,3.02
2011,July,3.10
2011,August,3.02
2011,September,2.89
2011,October,2.90
2011,November,2.79
2011,December,2.70
2012,January,2.66
2012,February,2.57
2012,March,2.42
2012,April,2.79
2012,May,3.00
2012,June,2.97
2012,July,3.03
2012,August,3.12
2012,September,3.10
2012,October,3.01
2012,November,3.02
2012,December,3.08
2013,January,3.00
2013,February,2.93
2013,March,2.90
2013,April,2.89
2013,May,2.95
2013,June,2.84
2013,July,2.83
2013,August,2.78
2013,September,2.75
2013,October,2.80
2013,November,2.78
2013,December,2.90
2014,January,2.87
2014,February,2.58
2014,March,2.50
2014,April,2.67
2014,May,2.87
2014,June,2.85
2014,July,2.96
2014,August,2.79
2014,September,2.64
2014,October,2.65
2014,November,2.65
2014,December,2.62
2015,January,2.61
2015,February,2.45
2015,March,2.41
2015,April,2.63
2015,May,2.89
2015,June,3.00
2015,July,3.10
2015,August,2.96
2015,September,2.78
2015,October,2.86
2015,November,2.82
2015,December,2.81
2016,January,2.55
2016,February,2.35
2016,March,2.31
2016,April,2.54
2016,May,2.57
2016,June,2.65
2016,July,2.77
2016,August,2.78
2016,September,2.79
2016,October,2.89
2016,November,3.03
2016,December,2.98
2017,January,3.04
2017,February,2.96
2017,March,2.87
2017,April,3.03
2017,May,3.20
2017,June,3.24
2017,July,3.23
2017,August,3.26
2017,September,3.28
2017,October,3.29
2017,November,3.23
2017,December,3.13
2018,January,3.10
2018,February,3.00
2018,March,2.84
2018,April,2.95
2018,May,3.02
2018,June,2.87
2018,July,2.89
2018,August,2.77
2018,September,2.67
2018,October,2.74
2018,November,2.70
2018,December,2.62
2019,January,2.54
2019,February,2.38
2019,March,2.38
2019,April,2.65
2019,May,2.73
2019,June,2.56
2019,July,2.58
2019,August,2.63
2019,September,2.54
2019,October,2.58
2019,November,2.61
2019,December,2.57
2020,January,2.51
2020,February,2.36
2020,March,2.13
2020,April,2.36
2020,May,2.51
2020,June,2.84
2020,July,3.04
2020,August,3.15
2020,September,3.08
2020,October,3.00
2020,November,2.78
2020,December,2.65
2021,January,2.68
2021,February,2.56
2021,March,2.43
2021,April,2.67
2021,May,2.71
2021,June,2.70
2021,July,2.65
2021,August,2.72
2021,September,2.73
2021,October,2.78
2021,November,2.83
2021,December,2.82
2022,January,2.86
2022,February,2.79
2022,March,2.61
2022,April,3.24
2022,May,2.99
2022,June,2.96
2022,July,3.31
2022,August,3.37
2022,September,3.33
2022,October,3.15
2022,November,3.05
2022,December,2.95
2023,January,2.77
2023,February,2.70
2023,March,2.69
2023,April,2.96
2023,May,2.71
2023,June,2.69
2023,July,2.47
2023,August,2.83
2023,September,2.85
2023,October,2.76
2023,November,2.74
2023,December,2.71
2024,January,2.66
2024,February,2.71
2024,March,2.69
2024,April,3.03
2024,May,3.20
2024,June,3.22
2024,July,3.30
2024,August,3.22
2024,September,3.27
2024,October,3.15
2024,November,3.09
2024,December,2.96
